limit_bal,gender,education,marriage,age,pay_stat_sep,pay_stat_aug,pay_stat_jul,pay_stat_jun,pay_stat_may,pay_stat_apr,bill_amt_sep,bill_amt_aug,bill_amt_jul,bill_amt_jun,bill_amt_may,bill_amt_apr,pay_amt_sep,pay_amt_aug,pay_amt_jul,pay_amt_jun,pay_amt_may,pay_amt_apr,pay_status_total,total_bill_amount,total_paid_amount,default
270000,2,2.0,1.0,40,0,0,0,0,0,0,26183,24181,19543,17160,14818,12702,1826,1469,514,581,612,312,0,114587,5314,1
500000,2,1.0,2.0,40,-1,-1,-1,-1,-2,-1,5158,5514,14199,1537,1537,5517,5514,14220,1537,1537,5517,550,-7,33462,28875,0
20000,1,2.0,2.0,31,5,4,3,4,3,2,21763,21145,20930,20182,19836,11998,0,549,0,0,0,0,21,115854,549,0
490000,1,1.0,2.0,41,0,0,0,0,0,0,345075,354273,57454,59860,29377,30478,10000,4000,3500,978,1500,3500,0,876517,23478,0
50000,2,2.0,1.0,37,1,2,0,0,0,0,51377,50253,50047,43142,10677,10105,0,2424,2355,363,361,393,3,215601,5896,0
150000,1,2.0,1.0,48,1,2,0,0,2,0,144837,141815,143704,151572,149807,153088,0,5000,9500,0,5005,6010,5,884823,25515,1
290000,1,3.0,1.0,47,2,0,0,0,0,-1,255412,217382,250549,31370,-4020,107239,5130,4647,949,4391,146216,60686,1,857932,222019,1
380000,2,2.0,2.0,27,0,0,0,0,-2,-2,118624,118871,120550,550,100,550,3700,3011,550,100,1000,736,-4,359245,9097,0
30000,1,2.0,2.0,26,1,2,0,0,0,0,21871,21222,22555,23874,14500,16500,0,1681,2000,2000,2000,2000,3,120522,9681,0
200000,1,1.0,1.0,36,1,2,0,0,0,0,14460,12825,13810,14815,16347,17531,0,1502,2000,2000,1513,1504,3,89788,8519,0
70000,2,2.0,1.0,27,0,0,2,2,2,2,68425,71783,72616,68201,50995,48822,6800,3100,15,3850,0,1800,8,380842,15565,0
280000,2,1.0,2.0,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,-5,15360,3968,0
150000,1,1.0,2.0,55,-1,-1,-1,-1,-1,-1,291,291,291,285,2085,8669,291,291,285,2091,8695,74646,-6,11912,86299,0
260000,2,1.0,2.0,26,0,0,0,0,0,0,144112,144619,142380,141746,112938,110346,5033,5046,4573,4000,3800,4000,0,796141,26452,0
200000,1,2.0,2.0,25,0,0,0,0,0,0,107001,108619,110149,110333,85201,84809,5000,5000,5000,3000,5000,10000,0,606112,33000,1
30000,2,3.0,1.0,33,1,2,2,2,0,0,39995,38049,35435,31976,29704,27687,1700,1100,0,1030,1000,3330,7,202846,8160,0
220000,2,1.0,2.0,36,-1,-1,-1,-1,-1,-1,1838,921,943,1467,25075,6862,923,945,1471,25150,6882,7715,-6,37106,43086,0
20000,2,1.0,1.0,37,1,-2,-1,2,2,-2,-113,-113,10887,10413,-245,-245,1575,11000,0,0,0,5100,0,20584,17675,1
80000,2,3.0,1.0,51,-2,-2,-2,-2,-2,-2,387,2120,15094,4140,747,1053,2126,15094,4173,747,1053,0,-12,23541,23193,0
100000,2,2.0,1.0,44,1,2,0,0,0,0,97581,94594,44145,46148,43750,44771,0,2000,3000,2000,2000,2000,3,370989,11000,0
200000,2,2.0,1.0,49,-1,-1,2,0,0,0,3024,11080,8736,26383,27959,20360,10000,0,20000,10000,5000,1520,0,97542,46520,0
10000,2,1.0,2.0,22,0,0,0,0,0,-2,9791,7052,6816,5210,0,0,1275,2500,1000,0,0,0,-2,28869,4775,0
300000,1,1.0,2.0,31,-1,-1,-1,-1,-1,-1,40779,5401,2444,578,390,1424,5401,2444,578,390,1424,390,-6,51016,10627,0
210000,2,1.0,2.0,24,-1,-1,0,0,0,-1,4055,113782,59367,29583,26756,29553,114482,20176,6793,20112,29676,47642,-3,263096,238881,0
330000,1,1.0,1.0,37,-2,-2,-2,-1,-1,-1,18807,15865,34284,2780,20247,1806,2087,10054,2840,21101,1814,1861,-9,93789,39757,1
20000,2,1.0,2.0,54,0,0,0,0,0,0,17016,17909,18298,18761,17781,10674,1568,1737,1200,0,0,0,0,100439,4505,0
360000,1,1.0,1.0,38,-1,-1,-1,-1,-1,-2,475,-25,4993,498,-2,-2,0,5018,505,0,0,553,-7,5937,6076,0
250000,2,2.0,2.0,44,-1,-1,-1,-1,-1,0,23438,0,3850,0,32690,37141,0,3850,0,32690,5000,5000,-5,97119,46540,0
180000,2,1.0,2.0,33,-2,-2,-1,-1,-1,-1,4500,2580,178,1500,0,1118,2580,178,1500,0,1118,1331,-8,9876,6707,0
50000,2,2.0,1.0,33,0,0,0,0,0,0,32752,34202,35242,34776,35497,36325,2000,1600,1600,1300,1400,1600,0,208794,9500,0
30000,2,2.0,1.0,40,1,2,0,0,0,0,29002,28236,28395,29409,25267,25800,0,1812,1826,904,940,1143,3,166109,6625,0
50000,1,3.0,2.0,41,0,0,2,0,0,0,22358,23257,23192,24073,21759,21959,1900,1000,1500,891,1000,700,2,136598,6991,0
360000,1,2.0,1.0,50,-2,-2,-2,-2,-2,-2,28595,0,2500,0,0,0,0,2500,0,0,0,0,-12,31095,2500,0
110000,2,1.0,2.0,27,0,0,0,2,0,0,30961,31860,35254,30250,21436,25325,1700,4000,0,1000,5000,3000,2,175086,14700,0
100000,2,4.0,1.0,54,0,0,0,0,0,0,95980,99056,100415,102666,63913,65246,4057,3232,3275,2290,2365,2382,0,527276,17601,0
60000,2,2.0,2.0,28,2,0,0,0,0,0,4114,5875,7612,8826,10113,11289,2000,2000,1500,1600,1500,1500,2,47829,10100,1
100000,1,2.0,2.0,31,0,0,0,0,0,0,21345,26288,23386,25362,26318,42484,6363,4386,5362,4344,20000,4382,0,165183,44837,0
30000,2,2.0,1.0,53,0,0,0,0,0,0,26891,28151,28827,29412,26199,27116,2000,1500,1000,1000,1351,1000,0,166596,7851,0
30000,1,2.0,2.0,47,0,0,0,0,0,0,29554,28893,29537,30087,17534,15145,1895,1539,1089,718,400,5000,0,150750,10641,0
20000,1,3.0,1.0,44,-1,-1,-1,-1,0,0,2522,169,1261,1170,780,390,169,1261,1170,0,0,0,-4,6292,2600,0
20000,1,2.0,2.0,34,0,0,0,0,0,0,18351,17706,18831,18334,17280,15582,1304,1429,1608,346,312,318,0,106084,5317,1
50000,2,3.0,1.0,61,2,0,0,0,2,0,5016,6065,6985,6354,4908,3724,1135,1055,656,0,133,50,4,33052,3029,0
390000,1,2.0,1.0,37,0,0,0,0,0,0,174603,178087,185212,187648,192538,198828,6379,10000,7001,8001,10000,10000,0,1116916,51381,0
150000,2,2.0,2.0,37,0,0,0,0,0,0,152349,152359,150257,79162,79617,79670,7000,7000,5000,3000,4000,3500,0,693414,29500,0
260000,1,3.0,1.0,48,0,0,0,0,0,0,154927,158848,160654,155059,141570,134143,8000,6000,7100,5300,5000,5000,0,905201,36400,0
140000,2,2.0,2.0,24,0,0,2,2,2,2,99012,106817,109646,106420,111130,113204,11000,6000,0,8000,4000,5000,8,646229,34000,0
10000,2,1.0,2.0,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0
60000,1,2.0,2.0,23,0,0,0,0,0,0,49507,33282,34312,17277,17808,19346,1970,2000,618,809,2000,616,0,171532,8013,1
170000,2,1.0,2.0,25,0,0,0,0,0,0,70326,71919,68356,68724,68889,69712,3100,3626,2500,2450,2693,2602,0,417926,16971,0
60000,2,1.0,2.0,26,1,2,0,0,0,0,29649,21657,28736,42733,46404,37993,0,8000,15000,9000,10000,0,3,207172,42000,0
20000,2,1.0,2.0,24,-1,2,-1,0,0,-1,632,316,948,632,316,1096,0,948,0,0,1096,0,-1,3940,2044,0
180000,2,1.0,2.0,27,0,0,0,0,0,0,101489,78738,78639,44295,44113,37805,10006,8000,1610,10000,1333,8818,0,385079,39767,0
150000,2,3.0,2.0,23,0,0,0,0,0,0,6319,8190,6686,7686,4526,65839,2000,1000,1000,0,63300,11632,0,99246,78932,0
350000,2,2.0,1.0,33,-2,-2,-1,0,0,0,-7438,144562,147437,135043,137980,138908,152000,6000,5000,4000,4017,5000,-5,696492,176017,0
170000,2,2.0,1.0,49,1,2,0,0,0,0,153322,149027,150920,145689,33588,0,0,6320,5045,1000,0,0,3,632546,12365,1
140000,1,1.0,2.0,30,-1,-1,-1,-1,-1,-1,1750,1003,0,440,1367,890,1003,0,440,1367,890,0,-6,5450,3700,0
420000,1,2.0,2.0,30,0,0,0,0,0,0,122418,113122,89586,83713,55375,54291,4816,4128,3147,2018,3130,3006,0,518505,20245,0
150000,1,1.0,2.0,32,0,0,2,2,2,0,52582,57496,55705,57210,57084,13194,6395,0,2100,222,1000,650,6,293271,10367,1
210000,2,1.0,2.0,27,-1,-1,-1,-1,-1,-1,272,894,2168,762,660,3140,902,2168,762,660,3140,0,-6,7896,7632,0
20000,1,3.0,1.0,52,2,0,0,0,0,0,16290,17301,19012,19959,19962,19988,1289,2000,1300,658,680,1000,2,112512,6927,0
400000,2,2.0,1.0,44,1,-2,-1,-1,-1,-1,0,0,1228,3405,961,-251,0,1228,3405,961,0,0,-5,5343,5594,0
30000,1,1.0,2.0,30,0,0,0,0,0,0,29965,28841,28278,28770,29432,28949,2000,1700,2008,2000,7600,2000,0,174235,17308,0
70000,2,2.0,2.0,34,-1,-1,-1,-1,0,0,2226,1245,-1000,11019,11632,7864,1245,0,12019,1000,157,7851,-4,32986,22272,0
40000,2,1.0,2.0,23,-1,2,2,2,2,2,14310,13788,16345,16531,16467,16061,0,3100,750,500,0,1500,9,93502,5850,0
300000,2,1.0,1.0,52,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0
140000,1,2.0,2.0,25,-1,-1,-1,-1,-1,-1,1198,4656,1516,-660,249,-427,4660,2000,0,2200,1500,1400,-6,6532,11760,0
80000,2,1.0,2.0,23,1,2,2,0,0,0,80457,82885,80495,78027,30052,30373,4350,0,2350,1048,1077,1154,5,382289,9979,1
200000,1,1.0,1.0,54,1,2,0,0,0,0,7111,4803,4629,14915,8523,5586,10,1215,12000,4000,4978,1000,3,45567,23203,0
100000,2,3.0,1.0,36,2,2,2,2,2,2,53530,55081,55581,59253,61145,62181,3000,2000,4600,3000,2200,2500,12,346771,17300,1
20000,1,2.0,1.0,45,0,0,0,0,0,0,19473,19868,16749,17538,13840,7370,1896,1417,1206,284,147,4937,0,94838,9887,0
150000,2,2.0,3.0,41,1,-2,-2,-1,-1,-1,0,0,0,3355,962,821,0,0,4026,962,821,380,-6,5138,6189,0
20000,2,3.0,2.0,27,0,0,0,0,0,0,20288,20293,20196,19777,20130,19350,1500,1400,2000,3000,1000,1000,0,120034,9900,0
20000,1,1.0,2.0,23,0,0,0,0,0,-2,18436,19219,6140,6140,0,0,1500,1000,0,0,0,0,-2,49935,2500,0
170000,2,1.0,2.0,49,0,0,0,0,0,0,163951,136825,140450,116293,118759,108766,5100,6000,4000,4000,3200,2200,0,785044,24500,0
230000,2,2.0,1.0,43,0,0,0,0,0,0,7075,7806,8392,8967,8729,10816,1279,1295,1300,468,2816,5893,0,51785,13051,0
60000,2,3.0,1.0,45,0,0,0,0,0,0,62396,36034,30534,28442,24544,24998,1500,1500,1404,1100,1000,1000,0,206948,7504,0
50000,2,2.0,2.0,23,0,0,0,0,0,0,42790,39480,36360,29123,28809,29263,1635,1423,1020,1050,1503,1016,0,205825,7647,0
170000,2,1.0,2.0,24,0,0,0,0,0,0,171465,145196,110163,112157,106497,108832,18500,13998,3760,4000,12212,4200,0,754310,56670,0
20000,1,2.0,1.0,35,0,0,0,0,2,2,11043,11770,13188,18318,18419,18978,1200,1600,5700,700,1000,0,4,91716,10200,1
430000,2,2.0,1.0,42,-1,-1,-1,-1,0,-1,38495,11935,32878,115683,84049,37210,11935,32887,115683,0,37210,29559,-5,320250,227274,0
130000,2,1.0,2.0,27,1,-2,-1,2,2,-1,0,0,98,98,98,2500,0,98,0,0,2500,0,1,2794,2598,0
110000,1,1.0,3.0,55,1,2,2,2,3,2,92610,94755,92351,101140,99260,101577,4500,0,11300,0,4100,0,12,581693,19900,1
110000,2,2.0,1.0,39,0,0,0,0,0,0,102801,104907,108107,96213,68003,52684,3818,4955,3446,3000,3000,4000,0,532715,22219,0
320000,2,1.0,2.0,27,0,0,0,0,0,0,120158,122307,112144,107318,105952,109626,6000,5000,5333,5000,5000,3000,0,677505,29333,0
360000,2,2.0,1.0,26,0,0,0,0,0,0,358897,357100,362900,293597,249345,228470,14245,14061,11028,8813,7900,8100,0,1850309,64147,1
80000,1,1.0,2.0,26,2,3,2,2,2,2,61851,62271,63154,63519,64351,67122,2000,2500,2000,2000,4000,2700,13,382268,15200,1
240000,2,2.0,1.0,40,-2,-2,-2,-2,-2,-2,0,0,0,0,0,1306,0,0,0,0,1306,0,-12,1306,1306,1
320000,2,2.0,2.0,35,-1,0,0,0,0,0,61687,59130,121486,22337,23358,13536,3500,3300,6000,5000,2000,3000,-1,301534,22800,0
20000,2,2.0,1.0,34,1,2,2,2,0,0,17970,17389,20491,19803,19734,19613,0,3700,0,1000,2000,710,7,115000,7410,0
600000,2,3.0,2.0,51,0,0,0,0,0,0,95286,78404,147559,323129,310042,311840,10448,85113,217035,11032,15019,10033,0,1266260,348680,0
230000,1,1.0,2.0,39,-1,-1,-1,2,-1,-1,834,-150,517,53,603,10141,0,667,0,700,10200,5200,-3,11998,16767,0
10000,2,3.0,1.0,41,-1,2,-1,-1,2,2,1838,1651,172,2034,2069,1891,0,179,2034,214,0,283,3,9655,2710,1
80000,1,2.0,2.0,27,0,0,0,0,0,0,78406,52520,27543,51180,27017,28560,1500,3024,1200,2000,2000,1000,0,265226,10724,0
240000,2,2.0,1.0,52,1,-2,-2,-2,-1,-1,0,0,0,0,2780,20034,0,0,0,2780,20034,0,-7,22814,22814,0
200000,1,2.0,1.0,34,-1,-1,-1,-1,-1,0,170,1512,-15,1067,2176,3378,1525,0,1082,2179,2013,165,-5,8288,6964,1
310000,2,2.0,2.0,25,-2,-2,-2,-2,-2,-2,2548,10304,12497,8568,1787,498,10317,12497,8580,1787,498,3019,-12,36202,36698,0
70000,1,2.0,2.0,41,2,2,2,3,3,2,34751,37683,40265,42306,41352,44342,3500,3500,3000,0,4000,2000,14,240699,16000,1
240000,2,2.0,1.0,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0
130000,2,2.0,1.0,41,2,2,0,0,0,0,133894,130312,128653,100795,95299,86564,0,7347,4000,3450,3300,4000,4,675517,22097,1
120000,1,1.0,2.0,33,1,-2,-2,-1,-1,-2,0,0,0,600,0,0,0,0,600,0,0,0,-7,600,600,0
400000,2,3.0,1.0,41,0,0,0,0,0,0,18487,12366,13010,12620,17945,20030,2620,1000,0,13945,7116,1280,0,94458,25961,1
30000,1,3.0,2.0,27,0,0,0,0,0,0,29584,25645,24564,25823,26269,26335,3000,2000,2000,2500,3000,2500,0,158220,15000,0
220000,1,1.0,2.0,31,-2,-2,-2,-2,-2,-2,332,332,328,1024,1888,1132,333,329,1029,1897,1137,1499,-12,5036,6224,0
80000,2,2.0,2.0,23,0,0,-2,-2,-2,-2,68850,0,0,0,0,0,0,0,0,0,0,0,-8,68850,0,0
290000,2,2.0,1.0,36,0,0,0,0,0,0,154336,125684,111298,82204,82792,83832,3600,3010,3000,2500,3000,2500,0,640146,17610,0
150000,2,1.0,2.0,31,2,-1,-1,-1,-1,-1,390,390,390,4825,5202,780,390,390,4825,5202,780,0,-3,11977,11587,1
420000,2,2.0,1.0,29,0,0,0,0,0,0,48455,34993,35340,54763,59037,60290,2011,3000,20000,5000,2000,3000,0,292878,35011,0
200000,2,2.0,2.0,46,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,600,-12,0,600,0
80000,1,2.0,1.0,37,2,2,2,2,0,0,81562,56352,29582,28852,29464,28688,11,3500,0,1033,1502,2002,8,254500,8048,1
50000,2,1.0,1.0,35,0,0,0,0,0,-1,46532,46624,45438,39527,7997,462,3000,1200,9,500,462,1500,-1,186580,6671,0
160000,2,3.0,1.0,46,-2,-2,-2,-2,-2,-2,-510,-520,0,-390,780,0,380,2000,0,101170,0,0,-12,-640,103550,0
40000,2,4.0,1.0,48,0,0,0,0,0,0,37896,40262,40370,39970,39970,0,3292,1400,0,0,0,0,0,198468,4692,0
10000,2,2.0,2.0,37,-1,0,0,0,0,-1,7841,7400,6770,5163,3575,390,1157,1000,103,72,400,0,-2,31139,2732,0
50000,2,2.0,2.0,40,0,-1,-1,-1,-2,-2,19869,15584,4377,0,0,0,15584,4377,0,0,0,0,-7,39830,19961,0
230000,2,2.0,1.0,44,-2,-2,-2,-2,-1,0,14029,9035,11979,6667,11972,8654,9140,12039,6700,11988,22,8910,-9,62336,48799,0
50000,1,3.0,1.0,23,0,0,0,0,0,0,43087,44468,46653,43143,19003,-317,2100,3260,1200,1000,0,16628,0,196037,24188,1
100000,2,2.0,1.0,33,2,0,0,0,0,0,96547,97120,95375,54612,30306,60897,5305,3590,1118,720,50000,4200,2,434857,64933,0
20000,1,2.0,1.0,27,0,0,0,0,-1,0,19339,20187,17592,14588,624,19945,1500,1295,1200,624,19563,628,-1,92275,24810,0
410000,1,2.0,1.0,46,2,2,2,2,2,0,71532,73643,72083,76603,74964,76370,3700,0,6147,0,2577,2747,10,445195,15171,1
230000,1,2.0,1.0,37,0,0,0,0,0,0,21374,23695,25996,28240,30450,31798,3000,3000,3000,3000,2000,3000,0,161553,17000,0
150000,1,3.0,1.0,40,0,0,0,0,0,0,121544,123615,126733,130241,132466,134808,5000,4533,5000,3724,3829,3900,0,769407,25986,0
200000,1,3.0,2.0,31,0,0,0,-2,-1,0,6492,6069,-202,1201,1200,0,1050,0,1302,100,0,0,-3,14760,2452,0
90000,2,2.0,1.0,43,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,0,0
360000,1,2.0,2.0,26,0,0,0,0,-1,0,89635,80129,75246,72996,73177,67271,3122,2007,1500,73177,2452,2256,-1,458454,84514,0
120000,2,2.0,2.0,30,0,0,0,0,0,0,16812,17571,18013,18197,9032,11951,1358,1126,636,650,4000,1800,0,91576,9570,0
430000,2,2.0,2.0,50,0,0,0,0,0,0,268537,207118,202412,207496,250337,255277,10000,8000,12000,50000,28000,60000,0,1391177,168000,0
30000,2,2.0,2.0,22,0,0,2,0,0,0,23892,28459,25499,25778,28708,30520,5300,0,1000,3352,2300,0,2,162856,11952,0
280000,2,1.0,2.0,31,-2,-2,-2,-2,-2,-2,326,326,0,326,652,0,326,0,326,652,0,652,-12,1630,1956,0
150000,2,2.0,2.0,27,1,-2,-2,-2,-1,-1,0,0,0,0,699,1170,0,0,0,699,1170,1173,-7,1869,3042,0
230000,2,3.0,1.0,32,1,2,0,-1,0,-1,167419,16968,7226,1469,690,388,76,3742,1546,0,388,910,1,194160,6662,0
30000,1,2.0,2.0,44,2,2,0,0,0,0,44072,39489,36794,33991,30820,29323,0,1820,1600,1012,2586,2656,4,214489,9674,0
160000,2,2.0,2.0,27,1,2,0,0,0,0,156506,157177,157804,157478,156098,156659,7000,6000,7217,6000,6000,6000,3,941722,38217,0
140000,2,2.0,1.0,46,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,780,-6,2340,2730,0
330000,2,1.0,2.0,27,0,0,0,0,2,2,322464,325625,323182,325197,327750,321936,13248,13120,12833,14344,8567,7060,4,1946154,69172,1
180000,1,2.0,2.0,25,2,2,2,0,0,0,10022,12847,12351,12350,12608,12892,3000,0,500,455,491,500,6,73070,4946,1
370000,1,2.0,2.0,33,0,0,0,2,0,0,72322,74758,78423,81017,81698,83562,4252,5500,4500,2926,3182,3043,2,471780,23403,0
50000,1,2.0,1.0,43,-2,-1,0,0,2,0,1040,4254,6955,9486,9191,12524,4254,2962,5191,0,3500,3000,-1,43450,18907,1
170000,1,1.0,1.0,39,2,2,2,2,4,3,74298,80073,81959,89991,88018,86299,7000,3800,10000,0,0,3100,15,500638,23900,1
90000,1,3.0,3.0,34,-2,-2,-2,-2,-2,-2,33957,4976,176,21601,7423,9252,4990,176,21665,8213,9279,16445,-12,77385,60768,0
420000,2,2.0,2.0,26,0,0,0,0,0,0,24434,22586,36569,28994,15159,9379,1500,28000,1210,303,2000,0,0,137121,33013,0
150000,2,1.0,1.0,31,-2,-2,-2,-2,-2,-2,2977,1408,0,0,0,0,1408,0,0,0,0,4400,-12,4385,5808,1
50000,2,3.0,1.0,28,0,0,2,0,0,0,14484,18528,18923,19310,19848,20367,4300,1000,1000,1000,1000,1000,2,111460,9300,1
500000,1,2.0,2.0,32,-1,-1,-1,-1,0,-1,10339,6405,-4617,16879,5195,290,6405,99,22480,0,580,36753,-5,34491,66317,0
240000,2,1.0,2.0,29,0,0,0,0,0,0,186969,167474,168081,166589,165981,165951,5510,6000,8808,6006,6000,6000,0,1021045,38324,0
190000,1,2.0,2.0,33,0,0,0,0,0,0,176028,166336,162100,155584,157988,154366,7063,8004,5500,7000,6000,5000,0,972402,38567,0
130000,2,2.0,1.0,37,1,2,2,2,0,0,67612,65997,70604,68904,70369,71682,0,6300,0,2700,2600,2800,7,415168,14400,1
340000,1,1.0,2.0,44,0,0,0,0,0,0,83059,85634,73950,59324,156094,110234,20000,5000,2000,112000,4234,4000,0,568295,147234,1
50000,2,2.0,1.0,36,0,0,0,0,0,0,26277,25371,22790,23372,22216,19586,1700,1800,1300,1000,1000,900,0,139612,7700,0
100000,2,2.0,2.0,27,0,0,0,0,0,0,37767,34457,30036,30337,30997,32904,1788,1799,1100,1150,2423,0,0,196498,8260,0
20000,1,2.0,1.0,47,0,0,0,2,2,2,10628,11650,14252,13678,15041,14751,1200,2800,0,1500,0,1000,6,80000,6500,1
80000,2,2.0,1.0,39,0,0,0,0,0,0,41753,42956,43850,38112,38876,39697,2200,2000,2000,1700,1600,1700,0,245244,11200,0
210000,2,2.0,2.0,26,0,0,0,0,0,0,193345,160508,156422,146954,137937,134581,8000,6005,5200,5500,5000,5500,0,929747,35205,0
230000,2,1.0,2.0,25,0,0,0,0,0,0,35101,35695,11657,13258,12459,6886,5000,5000,3000,669,5000,19000,0,115056,37669,0
130000,2,1.0,1.0,46,0,0,0,0,0,0,147582,138996,140558,90522,90917,92330,5394,4229,3211,3297,3312,3381,0,700905,22824,1
200000,1,2.0,1.0,27,0,0,0,0,0,0,112133,116017,119576,121954,124517,127441,5693,7000,4362,4525,5000,5000,0,721638,31580,0
220000,2,2.0,1.0,40,0,0,-2,-1,0,0,21920,0,0,5752,8478,9336,0,0,5752,3000,1000,2000,-3,45486,11752,0
100000,2,2.0,1.0,41,2,0,0,0,0,0,71978,73715,74621,72567,77231,78780,3500,2800,3000,6000,3000,2000,2,448892,20300,0
20000,2,2.0,1.0,29,-1,-1,-1,-1,0,0,1473,390,390,870,480,780,390,390,870,0,300,1500,-4,4383,3450,0
250000,2,2.0,2.0,25,0,0,0,0,0,3,25823,26114,27446,28371,4715,4358,1500,1575,1500,1000,0,0,3,116827,5575,0
210000,2,2.0,2.0,38,0,0,0,0,0,0,194358,185907,180618,184110,189134,194966,8000,10000,8000,8000,9000,8000,0,1129093,51000,0
80000,1,2.0,1.0,36,2,2,4,4,3,2,600,600,600,600,300,150,0,0,0,0,0,1000,17,2850,1000,1
150000,2,2.0,1.0,32,0,0,0,-2,-2,-2,21274,22704,0,0,0,0,11540,0,0,0,0,0,-6,43978,11540,0
360000,1,1.0,2.0,36,0,0,-1,-1,-1,-1,331365,338400,493,0,2030,2112,15000,493,0,2030,2112,750,-4,674400,20385,0
500000,1,2.0,1.0,42,1,-1,2,2,0,0,-984,3516,1924,1924,8924,6729,4500,0,0,7000,36,532,4,22033,12068,1
50000,1,2.0,1.0,48,2,0,0,0,0,0,79262,40931,40892,41612,18825,18019,3278,1880,1650,10000,1000,700,2,239541,18508,1
10000,1,2.0,2.0,37,0,0,0,0,0,0,17018,13789,8236,9130,7302,7981,1117,2800,1200,265,800,500,0,63456,6682,0
90000,2,2.0,1.0,27,0,0,0,0,0,0,20461,21465,22495,23504,23815,24311,1649,1679,1688,999,1029,1040,0,136051,8084,0
160000,1,4.0,1.0,45,1,-1,-1,-2,-1,0,0,10427,0,0,1817,1817,10427,0,0,1817,0,4700,-4,14061,16944,0
20000,2,3.0,1.0,42,0,0,0,0,0,0,17775,18974,18586,18957,19374,19583,1500,1285,656,699,2000,1286,0,113249,7426,0
300000,2,1.0,2.0,27,-1,-1,-1,-1,0,0,4850,42189,83754,120927,105303,82475,42198,83754,120927,0,716,25213,-4,439498,272808,0
120000,1,3.0,2.0,44,4,3,2,0,0,0,149229,138487,127516,124530,120937,67711,0,0,6000,5067,1548,120862,9,728410,133477,1
360000,2,1.0,1.0,59,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,1
